Available Datacenters(可用数据中心)

Datacenter  Geographic Location             Slug    oem_name1
NYC1        New York City, United States    nyc1    美国纽约市
NYC2        New York City, United States    nyc2    美国纽约市
NYC3        New York City, United States    nyc3    美国纽约市
AMS2        Amsterdam, the Netherlands      ams2    荷兰阿姆斯特丹
AMS3        Amsterdam, the Netherlands      ams3    荷兰阿姆斯特丹
SFO1        San Francisco, United States    sfo1    美国旧金山
SFO2        San Francisco, United States    sfo2    美国旧金山
SFO3        San Francisco, United States    sfo3    美国旧金山
SGP1        Singapore                       sgp1    新加坡
LON1        London, United Kingdom          lon1    英国伦敦
FRA1        Frankfurt, Germany              fra1    德国法兰克福
TOR1        Toronto, Canada                 tor1    加拿大多伦多
BLR1        Bangalore, India                blr1    印度班加罗尔


Droplet Official Image(官方操作系统镜像)

ID           Name                  Type        Distribution    Slug                   Public    Min Disk
77558491     12.2 ufs x64          snapshot    FreeBSD         freebsd-12-x64-ufs     true      20
77558552     12.2 zfs x64          snapshot    FreeBSD         freebsd-12-x64-zfs     true      15
78547182     1.5.8 x64             snapshot    RancherOS       rancheros              true      15
84780898     34 x64                snapshot    Fedora          fedora-34-x64          true      15
89246461     8 Stream x64          snapshot    CentOS          centos-stream-8-x64    true      15
95344509     35 x64                snapshot    Fedora          fedora-35-x64          true      15
96967120     RockyLinux 8.5 x64    snapshot    Rocky Linux     rockylinux-8-x64       true      15
96967133     RockyLinux 8.4 x64    snapshot    Rocky Linux     rockylinux-8-4-x64     true      15
100167549    7 x64                 snapshot    CentOS          centos-7-x64           true      15
101111514    20.04 (LTS) x64       snapshot    Ubuntu          ubuntu-20-04-x64       true      15
101120353    9 x64                 snapshot    Debian          debian-9-x64           true      15
101121241    18.04 (LTS) x64       snapshot    Ubuntu          ubuntu-18-04-x64       true      15
101121352    21.10 x64             snapshot    Ubuntu          ubuntu-21-10-x64       true      15
101134485    10 x64                snapshot    Debian          debian-10-x64          true      15
101537412    11 x64                snapshot    Debian          debian-11-x64          true      15


Droplet Official 1-check Image(市场和一键部署镜像)

SLUG                                         TYPE
gitlab-gitlabenterprise-18-04                droplet
kloudio-18-04                                droplet
bitmark-bitmarknode-18-04                    droplet
antmedia-antmediaserveren-16-04              droplet
antmedia-antmediaserveren-16-04              droplet
antmedia-antmediaserveren-16-04              droplet
solace-solacepubsubeven-18-04                droplet
solace-solacepubsubeven-18-04                droplet
erpnext-18-04                                droplet
plasmapay-plasmadltblockch-18-04             droplet
nibblecomm-spotipo-18-04                     droplet
skaffolder-18-04                             droplet
deadletter-18-04                             droplet
cyberscore-18-04                             droplet
bazookawasps-waspswithbazooka-18-04          droplet
sourcegraph-18-04                            droplet
memgraph-9-7                                 droplet
optimajet-workflowserver-18-04               droplet
vitalpointz-7-6                              droplet
reblaze-reblazewaf-18-04                     droplet
helpy-18-04                                  droplet
snapt-snaptaria-18-04                        droplet
sharklabs-minecraftjavaedi-18-04             droplet
sharklabs-nodejsquickstart-18-04             droplet
eltrino-magento2opensour-18-04               droplet
snapt-snaptnova-18-04                        droplet
snapt-snaptaria-18-04                        droplet
centoswebpanel-cwpcontrolpanel-7             droplet
zoomadmin-18-04                              droplet
supabase-supabaserealtime-18-04              droplet
issabel-7                                    droplet
posthog-18-04                                droplet
openfaas-18-04                               droplet
redash-18-04                                 droplet
cloudbees-cloudbeesjenkins-18-04             droplet
nimbella-18-04                               droplet
acra-18-04                                   droplet
selenoid-18-04                               droplet
zeromon-zabbix-18-04                         droplet
honeydbagent-9                               droplet
fastnetmon-18-04                             droplet
deadcanaries-onionroutedcloud-18-04          droplet
shopware-18-04                               droplet
nakama-18-04                                 droplet
onjection-jenkins-16-04                      droplet
prometheus-18-04                             droplet
buddy-18-04                                  droplet
opencart-18-04                               droplet
solidinvoice-18-04                           droplet
sharklabs-pacvim-18-04                       droplet
thingsboard-18-04                            droplet
influxdb-18-04                               droplet
code-server-18-04                            droplet
metabase-18-04                               droplet
alfio-7-6                                    droplet
weconexpbx-7-6                               droplet
thingsboardpe-18-04                          droplet
vardot-varbase-18-04                         droplet
bcoin-18-04                                  droplet
quickcorp-qcobjects-18-04                    droplet
